=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.12 18:16:00 =~=~=~=~=~=~=~=~=~=~=~=
0:0:0:961;-0.6848;-9.8120;0.1414;-7.4962;-5.4300;-10.0398;2;
0:0:0:971;-0.7625;-9.8621;0.2746;-7.2416;-5.4583;-10.0961;2;
0:0:0:981;-0.7911;-9.7509;0.3749;-6.8270;-5.6517;-10.2927;2;
0:0:0:991;-0.8836;-9.6116;0.4046;-6.7668;-6.1169;-10.2611;2;
0:0:1:1;-1.0141;-9.5800;0.3527;-7.0611;-7.3945;-9.9480;2;
0:0:1:11;-1.0222;-9.6788;0.2286;-7.1773;-9.3290;-9.6984;2;
0:0:1:21;-0.8604;-9.8714;0.0912;-6.8447;-10.7227;-9.8741;2;
0:0:1:31;-0.6655;-10.0525;0.0122;-6.3344;-10.4611;-10.3792;2;
0:0:1:41;-0.5713;-10.0904;0.0258;-6.0167;-8.6730;-10.7163;2;
0:0:1:51;-0.6131;-9.9874;0.1074;-5.9833;-6.6382;-10.6882;2;
0:0:1:61;-0.7752;-9.8770;0.2278;-6.0602;-5.8197;-10.5718;2;
0:0:1:71;-0.9525;-9.8312;0.3509;-6.0677;-6.8254;-10.5279;2;
0:0:1:81;-0.9845;-9.8264;0.3801;-5.8858;-9.0265;-10.5441;2;
0:0:1:91;-0.8366;-9.8547;0.2406;-5.3879;-11.1113;-10.7368;2;
0:0:1:101;-0.6300;-9.9113;-0.0186;-4.5759;-11.9694;-11.2043;2;
0:0:1:111;-0.4936;-9.9124;-0.2663;-3.7430;-11.2263;-11.7503;2;
0:0:1:121;-0.4814;-9.7881;-0.4007;-3.3059;-9.3991;-12.0325;2;
0:0:1:131;-0.6004;-9.6491;-0.3691;-3.4028;-7.6065;-12.0004;2;
0:0:1:141;-0.7782;-9.6630;-0.1668;-3.7497;-6.8886;-11.9312;2;
0:0:1:151;-0.8552;-9.8275;0.1096;-3.9040;-7.6298;-12.0380;2;
0:0:1:161;-0.7473;-10.0229;0.3018;-3.6266;-9.2645;-12.3211;2;
0:0:1:171;-0.5291;-10.1399;0.3158;-3.0132;-10.5604;-12.7183;2;
0:0:1:181;-0.3157;-10.0966;0.1910;-2.3923;-10.5238;-13.1351;2;
0:0:1:191;-0.1933;-9.8997;0.0271;-2.0724;-9.1410;-13.4120;2;
0:0:1:201;-0.2325;-9.7128;-0.1155;-2.0836;-7.3557;-13.4395;2;
0:0:1:211;-0.3910;-9.7131;-0.1895;-2.1705;-6.1949;-13.2477;2;
0:0:1:221;-0.4744;-9.8674;-0.1546;-2.0986;-5.8166;-12.9996;2;
0:0:1:231;-0.3675;-9.9873;-0.0417;-1.8346;-5.6819;-12.9283;2;
